NMI,INTERVAL_DATETIME,INTERVAL,INTERVAL_LENGTH,QUALITY_METHOD,SUFFIX_E,VALUE_E,UOM_E
6407387140,2019-01-01T00:15,1,15,A,E1,2724,WH
6407387140,2019-01-01T00:30,2,15,A,E1,2792,WH
6407387140,2019-01-01T00:45,3,15,A,E1,2752,WH
6407387140,2019-01-01T01:00,4,15,A,E1,2800,WH
6407387140,2019-01-01T01:15,5,15,A,E1,2684,WH
6407387140,2019-01-01T01:30,6,15,A,E1,2776,WH
6407387140,2019-01-01T01:45,7,15,A,E1,2772,WH
6407387140,2019-01-01T02:00,8,15,A,E1,3652,WH
6407387140,2019-01-01T02:15,9,15,A,E1,3404,WH
6407387140,2019-01-01T02:30,10,15,A,E1,2736,WH
6407387140,2019-01-01T02:45,11,15,A,E1,2996,WH
6407387140,2019-01-01T03:00,12,15,A,E1,3268,WH
6407387140,2019-01-01T03:15,13,15,A,E1,2764,WH
6407387140,2019-01-01T03:30,14,15,A,E1,3392,WH
6407387140,2019-01-01T03:45,15,15,A,E1,2780,WH
6407387140,2019-01-01T04:00,16,15,A,E1,2800,WH
6407387140,2019-01-01T04:15,17,15,A,E1,2780,WH
6407387140,2019-01-01T04:30,18,15,A,E1,2996,WH
6407387140,2019-01-01T04:45,19,15,A,E1,2996,WH
6407387140,2019-01-01T05:00,20,15,A,E1,2588,WH
6407387140,2019-01-01T05:15,21,15,A,E1,2592,WH
6407387140,2019-01-01T05:30,22,15,A,E1,2760,WH
6407387140,2019-01-01T05:45,23,15,A,E1,2312,WH
6407387140,2019-01-01T06:00,24,15,A,E1,2312,WH
6407387140,2019-01-01T06:15,25,15,A,E1,2248,WH
6407387140,2019-01-01T06:30,26,15,A,E1,2232,WH
6407387140,2019-01-01T06:45,27,15,A,E1,2368,WH
6407387140,2019-01-01T07:00,28,15,A,E1,2276,WH
6407387140,2019-01-01T07:15,29,15,A,E1,2340,WH
6407387140,2019-01-01T07:30,30,15,A,E1,2272,WH
6407387140,2019-01-01T07:45,31,15,A,E1,2272,WH
6407387140,2019-01-01T08:00,32,15,A,E1,2276,WH
6407387140,2019-01-01T08:15,33,15,A,E1,2308,WH
6407387140,2019-01-01T08:30,34,15,A,E1,2264,WH
6407387140,2019-01-01T08:45,35,15,A,E1,2312,WH
6407387140,2019-01-01T09:00,36,15,A,E1,2340,WH
6407387140,2019-01-01T09:15,37,15,A,E1,2408,WH
6407387140,2019-01-01T09:30,38,15,A,E1,2336,WH
6407387140,2019-01-01T09:45,39,15,A,E1,2724,WH
6407387140,2019-01-01T10:00,40,15,A,E1,2280,WH
6407387140,2019-01-01T10:15,41,15,A,E1,2380,WH
6407387140,2019-01-01T10:30,42,15,A,E1,2324,WH
6407387140,2019-01-01T10:45,43,15,A,E1,2416,WH
6407387140,2019-01-01T11:00,44,15,A,E1,2308,WH
6407387140,2019-01-01T11:15,45,15,A,E1,2328,WH
6407387140,2019-01-01T11:30,46,15,A,E1,2348,WH
6407387140,2019-01-01T11:45,47,15,A,E1,2612,WH
6407387140,2019-01-01T12:00,48,15,A,E1,2868,WH
6407387140,2019-01-01T12:15,49,15,A,E1,2384,WH
6407387140,2019-01-01T12:30,50,15,A,E1,2340,WH
6407387140,2019-01-01T12:45,51,15,A,E1,2416,WH
6407387140,2019-01-01T13:00,52,15,A,E1,2488,WH
6407387140,2019-01-01T13:15,53,15,A,E1,2964,WH
6407387140,2019-01-01T13:30,54,15,A,E1,2364,WH
6407387140,2019-01-01T13:45,55,15,A,E1,2376,WH
6407387140,2019-01-01T14:00,56,15,A,E1,2380,WH
6407387140,2019-01-01T14:15,57,15,A,E1,3000,WH
6407387140,2019-01-01T14:30,58,15,A,E1,2480,WH
6407387140,2019-01-01T14:45,59,15,A,E1,2340,WH
6407387140,2019-01-01T15:00,60,15,A,E1,2460,WH
6407387140,2019-01-01T15:15,61,15,A,E1,2384,WH
6407387140,2019-01-01T15:30,62,15,A,E1,2440,WH
6407387140,2019-01-01T15:45,63,15,A,E1,2456,WH
6407387140,2019-01-01T16:00,64,15,A,E1,2392,WH
6407387140,2019-01-01T16:15,65,15,A,E1,2384,WH
6407387140,2019-01-01T16:30,66,15,A,E1,2276,WH
6407387140,2019-01-01T16:45,67,15,A,E1,2452,WH
6407387140,2019-01-01T17:00,68,15,A,E1,2460,WH
6407387140,2019-01-01T17:15,69,15,A,E1,2392,WH
6407387140,2019-01-01T17:30,70,15,A,E1,2792,WH
6407387140,2019-01-01T17:45,71,15,A,E1,2328,WH
6407387140,2019-01-01T18:00,72,15,A,E1,2404,WH
6407387140,2019-01-01T18:15,73,15,A,E1,2308,WH
6407387140,2019-01-01T18:30,74,15,A,E1,2420,WH
6407387140,2019-01-01T18:45,75,15,A,E1,2300,WH
6407387140,2019-01-01T19:00,76,15,A,E1,2368,WH
6407387140,2019-01-01T19:15,77,15,A,E1,2352,WH
6407387140,2019-01-01T19:30,78,15,A,E1,2376,WH
6407387140,2019-01-01T19:45,79,15,A,E1,2424,WH
6407387140,2019-01-01T20:00,80,15,A,E1,2540,WH
6407387140,2019-01-01T20:15,81,15,A,E1,2580,WH
6407387140,2019-01-01T20:30,82,15,A,E1,2780,WH
6407387140,2019-01-01T20:45,83,15,A,E1,2776,WH
6407387140,2019-01-01T21:00,84,15,A,E1,3040,WH
6407387140,2019-01-01T21:15,85,15,A,E1,3148,WH
