Date	A:0.0-T:10.0	A:180.0-T:10.0	A:0.0-T:25.0	A:180.0-T:25.0
M:01-H:00	0.0000	0.0000	0.0000	0.0000
M:01-H:01	0.0000	0.0000	0.0000	0.0000
M:01-H:02	0.0000	0.0000	0.0000	0.0000
M:01-H:03	0.0000	0.0000	0.0000	0.0000
M:01-H:04	0.0000	0.0000	0.0000	0.0000
M:01-H:05	5.8977	15.9293	5.7852	26.0543
M:01-H:06	79.1252	116.1065	51.2004	137.3389
M:01-H:07	198.5740	218.4736	171.3556	220.2735
M:01-H:08	338.5944	337.4976	320.2927	317.6076
M:01-H:09	477.2353	455.8615	467.0006	413.8789
M:01-H:10	591.9036	552.1083	589.0841	490.0028
M:01-H:11	616.4761	570.2265	616.8463	501.5205
M:01-H:12	643.7739	592.1051	646.6510	517.8356
M:01-H:13	617.6235	570.6931	618.1180	501.1166
M:01-H:14	557.4263	520.9225	553.6665	462.7873
M:01-H:15	503.1333	479.9501	492.0055	434.3431
M:01-H:16	353.8585	353.7611	333.3983	333.1379
M:01-H:17	218.1551	242.5204	186.3485	246.1383
M:01-H:18	77.4419	114.4107	50.3710	135.9144
M:01-H:19	3.3581	9.4651	3.4102	15.8181
M:01-H:20	0.0000	0.0000	0.0000	0.0000
M:01-H:21	0.0000	0.0000	0.0000	0.0000
M:01-H:22	0.0000	0.0000	0.0000	0.0000
M:01-H:23	0.0000	0.0000	0.0000	0.0000
M:02-H:00	0.0000	0.0000	0.0000	0.0000
M:02-H:01	0.0000	0.0000	0.0000	0.0000
M:02-H:02	0.0000	0.0000	0.0000	0.0000
M:02-H:03	0.0000	0.0000	0.0000	0.0000
M:02-H:04	0.0000	0.0000	0.0000	0.0000
M:02-H:05	0.0000	0.0000	0.0000	0.0000
M:02-H:06	32.9809	47.7073	23.4378	57.0376
M:02-H:07	164.8274	170.4461	150.4459	164.1854
M:02-H:08	290.7667	273.4562	286.5351	243.7470
M:02-H:09	456.0789	414.0217	461.2190	356.6101
M:02-H:10	564.4569	502.9259	577.7372	424.2625
M:02-H:11	661.2562	586.5339	679.2582	492.8372
M:02-H:12	665.6850	590.1625	683.2960	495.3175
M:02-H:13	652.6575	575.9078	671.8574	480.2071
M:02-H:14	575.8561	515.2802	588.6976	437.7879
M:02-H:15	469.0234	425.5525	475.0604	367.0358
M:02-H:16	351.7289	327.9264	349.0187	290.1281
M:02-H:17	200.1102	202.7958	185.9796	192.5679
M:02-H:18	51.4365	68.1429	38.6520	77.4934
M:02-H:19	0.0000	0.0000	0.0000	0.0000
M:02-H:20	0.0000	0.0000	0.0000	0.0000
M:02-H:21	0.0000	0.0000	0.0000	0.0000
M:02-H:22	0.0000	0.0000	0.0000	0.0000
M:02-H:23	0.0000	0.0000	0.0000	0.0000
M:03-H:00	0.0000	0.0000	0.0000	0.0000
M:03-H:01	0.0000	0.0000	0.0000	0.0000
M:03-H:02	0.0000	0.0000	0.0000	0.0000
M:03-H:03	0.0000	0.0000	0.0000	0.0000
M:03-H:04	0.0000	0.0000	0.0000	0.0000
M:03-H:05	0.0000	0.0000	0.0000	0.0000
M:03-H:06	5.5367	5.8384	5.1455	5.8495
M:03-H:07	104.0533	88.2281	109.6133	72.0687
M:03-H:08	261.2401	212.4010	281.1384	161.8164
M:03-H:09	349.1124	285.8776	374.5857	217.8909
M:03-H:10	437.7812	361.1434	468.3153	277.2796
M:03-H:11	552.2025	453.8133	591.8690	346.0245
M:03-H:12	552.0553	462.1044	586.3708	361.6231
M:03-H:13	543.5066	448.8295	581.5556	345.2071
M:03-H:14	500.9194	411.7450	537.2326	315.1687
M:03-H:15	397.6044	329.0712	424.7595	255.2385
M:03-H:16	239.2231	199.9083	254.2263	158.4800
M:03-H:17	107.1514	92.6322	112.0427	77.6692
M:03-H:18	6.1492	6.6958	5.5455	6.8325
M:03-H:19	0.0000	0.0000	0.0000	0.0000
M:03-H:20	0.0000	0.0000	0.0000	0.0000
M:03-H:21	0.0000	0.0000	0.0000	0.0000
M:03-H:22	0.0000	0.0000	0.0000	0.0000
M:03-H:23	0.0000	0.0000	0.0000	0.0000
M:04-H:00	0.0000	0.0000	0.0000	0.0000
M:04-H:01	0.0000	0.0000	0.0000	0.0000
M:04-H:02	0.0000	0.0000	0.0000	0.0000
M:04-H:03	0.0000	0.0000	0.0000	0.0000
M:04-H:04	0.0000	0.0000	0.0000	0.0000
M:04-H:05	0.0000	0.0000	0.0000	0.0000
M:04-H:06	0.0000	0.0000	0.0000	0.0000
M:04-H:07	52.9386	31.0527	68.5554	21.9527
M:04-H:08	164.1235	110.4409	193.6209	68.3715
M:04-H:09	271.4978	195.9488	309.9083	126.0537
M:04-H:10	345.4135	256.1798	389.4891	168.7756
M:04-H:11	405.2033	302.6121	455.6089	200.4275
M:04-H:12	419.1649	315.2565	470.0537	211.2816
M:04-H:13	410.5480	308.7010	460.5467	207.6961
M:04-H:14	354.8693	260.2764	402.4848	169.8041
M:04-H:15	250.0788	178.6524	287.1896	115.5632
M:04-H:16	129.8708	84.2945	156.8078	54.0547
M:04-H:17	21.9619	13.6231	28.4892	10.7145
M:04-H:18	0.0000	0.0000	0.0000	0.0000
M:04-H:19	0.0000	0.0000	0.0000	0.0000
M:04-H:20	0.0000	0.0000	0.0000	0.0000
M:04-H:21	0.0000	0.0000	0.0000	0.0000
M:04-H:22	0.0000	0.0000	0.0000	0.0000
M:04-H:23	0.0000	0.0000	0.0000	0.0000
M:05-H:00	0.0000	0.0000	0.0000	0.0000
M:05-H:01	0.0000	0.0000	0.0000	0.0000
M:05-H:02	0.0000	0.0000	0.0000	0.0000
M:05-H:03	0.0000	0.0000	0.0000	0.0000
M:05-H:04	0.0000	0.0000	0.0000	0.0000
M:05-H:05	0.0000	0.0000	0.0000	0.0000
M:05-H:06	0.0000	0.0000	0.0000	0.0000
M:05-H:07	12.3930	4.0164	21.2065	4.0165
M:05-H:08	111.3155	47.1117	154.4522	27.0468
M:05-H:09	187.3197	109.2871	231.6676	57.5780
M:05-H:10	251.6992	162.6222	299.3794	88.4371
M:05-H:11	298.0806	203.2018	347.9154	118.5613
M:05-H:12	330.1995	224.7830	385.7296	129.6038
M:05-H:13	326.9708	212.8527	388.2902	114.2431
M:05-H:14	249.2665	153.2275	302.1196	78.0109
M:05-H:15	170.0205	91.5936	216.7032	49.5631
M:05-H:16	56.2415	25.6647	79.9935	21.4415
M:05-H:17	0.0029	0.0000	0.0733	0.0000
M:05-H:18	0.0000	0.0000	0.0000	0.0000
M:05-H:19	0.0000	0.0000	0.0000	0.0000
M:05-H:20	0.0000	0.0000	0.0000	0.0000
M:05-H:21	0.0000	0.0000	0.0000	0.0000
M:05-H:22	0.0000	0.0000	0.0000	0.0000
M:05-H:23	0.0000	0.0000	0.0000	0.0000
M:06-H:00	0.0000	0.0000	0.0000	0.0000
M:06-H:01	0.0000	0.0000	0.0000	0.0000
M:06-H:02	0.0000	0.0000	0.0000	0.0000
M:06-H:03	0.0000	0.0000	0.0000	0.0000
M:06-H:04	0.0000	0.0000	0.0000	0.0000
M:06-H:05	0.0000	0.0000	0.0000	0.0000
M:06-H:06	0.0000	0.0000	0.0000	0.0000
M:06-H:07	0.6936	0.0000	2.1359	0.0000
M:06-H:08	72.9033	25.4559	109.4966	21.3964
M:06-H:09	169.8756	80.5530	223.9453	42.5081
M:06-H:10	257.3811	140.3658	323.5558	59.6992
M:06-H:11	303.1593	181.1323	370.0351	84.0769
M:06-H:12	313.6081	190.8911	380.3256	90.4804
M:06-H:13	283.1276	170.1828	344.9076	82.3552
M:06-H:14	229.2701	125.5498	288.1067	60.4468
M:06-H:15	155.8430	65.5256	213.4056	38.0528
M:06-H:16	40.5379	15.3155	63.8992	15.2988
M:06-H:17	0.0000	0.0000	0.0000	0.0000
M:06-H:18	0.0000	0.0000	0.0000	0.0000
M:06-H:19	0.0000	0.0000	0.0000	0.0000
M:06-H:20	0.0000	0.0000	0.0000	0.0000
M:06-H:21	0.0000	0.0000	0.0000	0.0000
M:06-H:22	0.0000	0.0000	0.0000	0.0000
M:06-H:23	0.0000	0.0000	0.0000	0.0000
M:07-H:00	0.0000	0.0000	0.0000	0.0000
M:07-H:01	0.0000	0.0000	0.0000	0.0000
M:07-H:02	0.0000	0.0000	0.0000	0.0000
M:07-H:03	0.0000	0.0000	0.0000	0.0000
M:07-H:04	0.0000	0.0000	0.0000	0.0000
M:07-H:05	0.0000	0.0000	0.0000	0.0000
M:07-H:06	0.0000	0.0000	0.0000	0.0000
M:07-H:07	0.4999	0.1449	1.2220	0.1368
M:07-H:08	82.1671	30.7562	120.6765	23.4329
M:07-H:09	174.8319	90.0407	225.7775	45.8138
M:07-H:10	282.4703	165.9412	347.9858	78.7263
M:07-H:11	359.2023	216.3063	438.1695	97.6445
M:07-H:12	357.4870	224.3866	429.8760	110.0182
M:07-H:13	307.7399	195.3708	368.5737	100.8428
M:07-H:14	221.7629	138.3893	267.5291	75.5100
M:07-H:15	151.7832	81.3281	193.9586	46.3513
M:07-H:16	64.4512	24.4783	96.0581	20.4378
M:07-H:17	0.0183	0.0000	0.1958	0.0000
M:07-H:18	0.0000	0.0000	0.0000	0.0000
M:07-H:19	0.0000	0.0000	0.0000	0.0000
M:07-H:20	0.0000	0.0000	0.0000	0.0000
M:07-H:21	0.0000	0.0000	0.0000	0.0000
M:07-H:22	0.0000	0.0000	0.0000	0.0000
M:07-H:23	0.0000	0.0000	0.0000	0.0000
M:08-H:00	0.0000	0.0000	0.0000	0.0000
M:08-H:01	0.0000	0.0000	0.0000	0.0000
M:08-H:02	0.0000	0.0000	0.0000	0.0000
M:08-H:03	0.0000	0.0000	0.0000	0.0000
M:08-H:04	0.0000	0.0000	0.0000	0.0000
M:08-H:05	0.0000	0.0000	0.0000	0.0000
M:08-H:06	0.0000	0.0000	0.0000	0.0000
M:08-H:07	28.4076	15.1706	39.0668	12.0213
M:08-H:08	131.0341	77.5234	163.4434	45.7878
M:08-H:09	266.9648	172.0021	319.0916	94.4535
M:08-H:10	359.5523	246.9693	418.4992	144.0306
M:08-H:11	391.5511	280.9803	448.1785	175.6482
M:08-H:12	385.8383	281.1468	439.0063	180.4765
M:08-H:13	387.1423	274.6178	445.2471	167.9711
M:08-H:14	324.1097	221.8646	377.8632	129.1092
M:08-H:15	237.9387	151.2969	285.7460	82.5404
M:08-H:16	112.5273	60.7411	145.6898	35.6184
M:08-H:17	7.8709	4.5861	10.8375	4.0352
M:08-H:18	0.0000	0.0000	0.0000	0.0000
M:08-H:19	0.0000	0.0000	0.0000	0.0000
M:08-H:20	0.0000	0.0000	0.0000	0.0000
M:08-H:21	0.0000	0.0000	0.0000	0.0000
M:08-H:22	0.0000	0.0000	0.0000	0.0000
M:08-H:23	0.0000	0.0000	0.0000	0.0000
M:09-H:00	0.0000	0.0000	0.0000	0.0000
M:09-H:01	0.0000	0.0000	0.0000	0.0000
M:09-H:02	0.0000	0.0000	0.0000	0.0000
M:09-H:03	0.0000	0.0000	0.0000	0.0000
M:09-H:04	0.0000	0.0000	0.0000	0.0000
M:09-H:05	0.0000	0.0000	0.0000	0.0000
M:09-H:06	5.9334	5.0774	6.3149	4.3689
M:09-H:07	89.3500	68.3135	100.4688	51.6344
M:09-H:08	236.7581	180.3329	264.2555	127.9297
M:09-H:09	377.5723	293.1247	417.1145	208.8000
M:09-H:10	446.8557	354.1286	489.1627	258.5900
M:09-H:11	483.8799	385.1282	528.3676	281.9998
M:09-H:12	491.4148	392.7411	535.4126	289.0277
M:09-H:13	464.2354	370.2734	506.6185	272.3874
M:09-H:14	375.4412	299.8953	408.9890	221.3520
M:09-H:15	284.3826	220.9552	314.0476	158.3300
M:09-H:16	153.1808	118.2393	169.8754	86.4029
M:09-H:17	33.2307	27.2672	36.2783	22.6928
M:09-H:18	0.0000	0.0000	0.0000	0.0000
M:09-H:19	0.0000	0.0000	0.0000	0.0000
M:09-H:20	0.0000	0.0000	0.0000	0.0000
M:09-H:21	0.0000	0.0000	0.0000	0.0000
M:09-H:22	0.0000	0.0000	0.0000	0.0000
M:09-H:23	0.0000	0.0000	0.0000	0.0000
M:10-H:00	0.0000	0.0000	0.0000	0.0000
M:10-H:01	0.0000	0.0000	0.0000	0.0000
M:10-H:02	0.0000	0.0000	0.0000	0.0000
M:10-H:03	0.0000	0.0000	0.0000	0.0000
M:10-H:04	0.0000	0.0000	0.0000	0.0000
M:10-H:05	0.2307	0.3455	0.1911	0.4232
M:10-H:06	50.3816	54.5894	44.5026	54.5524
M:10-H:07	171.7758	160.7490	169.7721	142.8702
M:10-H:08	304.1292	271.9926	310.2775	230.7705
M:10-H:09	441.8771	388.6378	456.1613	323.7200
M:10-H:10	545.1861	479.6107	563.2185	399.8644
M:10-H:11	582.4059	510.7428	601.7789	423.7275
M:10-H:12	555.0674	490.6963	571.4707	411.6372
M:10-H:13	491.1027	440.1137	502.4248	375.4521
M:10-H:14	445.3601	398.0405	456.2965	338.6668
M:10-H:15	345.3785	308.5054	353.2319	261.8295
M:10-H:16	230.5795	213.9838	229.6319	188.9386
M:10-H:17	78.5266	81.2383	72.0611	78.6042
M:10-H:18	2.3978	4.0478	1.8675	5.3298
M:10-H:19	0.0000	0.0000	0.0000	0.0000
M:10-H:20	0.0000	0.0000	0.0000	0.0000
M:10-H:21	0.0000	0.0000	0.0000	0.0000
M:10-H:22	0.0000	0.0000	0.0000	0.0000
M:10-H:23	0.0000	0.0000	0.0000	0.0000
M:11-H:00	0.0000	0.0000	0.0000	0.0000
M:11-H:01	0.0000	0.0000	0.0000	0.0000
M:11-H:02	0.0000	0.0000	0.0000	0.0000
M:11-H:03	0.0000	0.0000	0.0000	0.0000
M:11-H:04	0.0000	0.0000	0.0000	0.0000
M:11-H:05	14.6302	32.2736	12.3667	47.1879
M:11-H:06	99.1276	122.4275	76.3637	132.3694
M:11-H:07	216.1550	221.0421	199.6626	211.7364
M:11-H:08	317.1102	305.4024	308.1285	279.0840
M:11-H:09	426.7692	400.2283	423.3348	357.3292
M:11-H:10	486.6830	449.8628	487.9896	396.3733
M:11-H:11	552.8922	509.1147	556.2237	447.2351
M:11-H:12	560.9277	514.7163	565.3004	450.3756
M:11-H:13	554.9932	511.9803	557.7633	450.9280
M:11-H:14	478.3978	447.2191	475.8546	398.3625
