Date	0-10	15-10	30-10	45-10	60-10	75-10	90-10	105-10	120-10	135-10	150-10	165-10	180-10	195-10	210-10	225-10	240-10	255-10	270-10	285-10	300-10	315-10	330-10	345-10	0-20	15-20	30-20	45-20	60-20	75-20	90-20	105-20	120-20	135-20	150-20	165-20	180-20	195-20	210-20	225-20	240-20	255-20	270-20	285-20	300-20	315-20	330-20	345-20	0-30	15-30	30-30	45-30	60-30	75-30	90-30	105-30	120-30	135-30	150-30	165-30	180-30	195-30	210-30	225-30	240-30	255-30	270-30	285-30	300-30	315-30	330-30	345-30
01-00	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
01-01	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
01-02	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
01-03	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
01-04	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
01-05	5.8977	7.6514	10.8873	14.7832	18.6892	22.0887	24.6197	26.0348	26.2139	25.1422	22.9082	19.7319	15.9293	11.9861	8.5148	6.2412	5.6641	5.6641	5.6643	5.6645	5.6650	5.6655	5.6662	5.6667	5.7695	6.2428	12.0204	20.3330	28.6449	35.6669	40.7493	43.5470	43.8980	41.7828	37.3198	30.7960	22.7687	14.3021	7.4945	5.7643	5.7641	5.7642	5.7645	5.7652	5.7661	5.7672	5.7684	5.7695	5.7769	5.7769	12.8423	25.5192	37.8789	48.0466	55.2979	59.2595	59.7535	56.7583	50.4068	41.0087	29.1616	16.2959	6.5913	5.7697	5.7693	5.7694	5.7699	5.7709	5.7723	5.7738	5.7756	5.7769
01-06	79.1252	95.4070	112.3203	128.3765	142.2964	153.0871	160.0466	162.7506	161.0401	155.0169	145.0457	131.7661	116.1065	99.2853	82.7554	68.0278	56.3429	48.3117	43.8514	42.2078	43.1115	46.8778	54.0625	64.9605	60.0472	90.4393	123.7742	155.3155	182.1950	202.6986	215.7757	220.8254	217.6257	206.3194	187.4224	161.8769	131.2249	98.0327	66.5942	43.4595	34.8223	34.2316	34.2316	34.2316	34.2316	34.2316	34.3200	39.5319	43.5320	82.9993	131.5667	177.3118	215.6375	244.5197	262.8181	269.8609	265.3933	249.5817	223.0091	186.7020	142.4212	93.9662	51.1295	34.9557	34.7767	34.7767	34.7767	34.7768	34.7768	34.7768	34.7768	34.7768
01-07	198.5740	216.4510	233.5166	248.6472	260.9075	269.5751	274.1596	274.4067	270.3041	262.0800	250.2005	235.3608	218.4736	200.6407	183.1026	167.1459	153.9698	144.5462	139.5298	139.2448	143.7117	152.6471	165.4365	181.1400	181.7315	217.1809	250.5252	279.6286	302.9067	319.2137	327.7890	328.2433	320.5594	305.0915	282.5632	254.0764	221.1589	185.8739	150.9503	119.6999	95.3035	79.5292	72.0450	71.5845	78.0800	92.7980	116.3020	146.9916	159.7815	212.0559	260.6930	302.5413	335.6566	358.6963	370.7627	371.3928	360.5694	338.7197	306.7030	265.8127	217.9055	165.9428	115.2973	75.1843	56.7032	54.9104	54.9104	54.9104	54.9104	55.8903	71.1250	109.5688
01-08	338.5944	354.4845	369.0399	381.3429	390.6423	396.3880	398.2460	396.1102	390.1045	380.5798	368.1012	353.4316	337.4976	321.3511	306.1101	292.8804	282.6614	276.2487	274.1517	276.5389	283.2208	293.6690	307.0715	322.4172	328.4431	359.8255	388.1749	411.8651	429.6225	440.5313	444.0451	439.9915	428.5764	410.3782	386.3395	357.7569	326.2756	293.8753	262.8380	235.6032	214.4684	201.2125	196.8745	201.7745	215.5663	237.1683	264.7537	295.9945	310.1116	356.4732	397.7909	431.9617	457.3893	472.9372	477.9289	472.1547	455.8725	429.8030	395.1199	353.4497	306.9253	258.3495	211.4683	170.9038	140.9726	123.6578	118.3159	124.1845	142.2231	173.0191	214.2417	261.4701
01-09	477.2353	490.9252	502.8419	512.2326	518.5178	521.3159	520.4593	515.9999	508.2076	497.5598	484.7198	470.5083	455.8615	441.7778	429.2516	419.1988	412.3765	409.3106	410.2411	415.0957	423.4984	434.8080	448.1837	462.6618	473.1944	500.1082	523.3133	541.4633	553.5461	558.9066	557.2605	548.6982	533.6829	513.0411	487.9431	459.8757	430.5988	402.0809	376.3929	355.5466	341.2788	334.8303	336.7752	346.9444	364.4454	387.7838	415.0638	444.2165	458.0317	497.6495	531.4883	557.7707	575.1832	582.8855	580.5165	568.1942	546.5137	516.5430	479.8114	438.3022	394.4515	351.1480	311.6648	279.3806	257.2442	247.2430	250.2250	265.9597	293.0915	329.1381	370.8638	414.8714
